Level1	Level2	Level3
Cellular Processes	Cell Communication	Adherens junction
Cellular Processes	Cell Communication	Focal adhesion
Cellular Processes	Cell Communication	Tight junction
Cellular Processes	Cell Growth and Death	Apoptosis
Cellular Processes	Cell Growth and Death	Cell cycle
Cellular Processes	Cell Growth and Death	Cell cycle - Caulobacter
Cellular Processes	Cell Growth and Death	Cell cycle - yeast
Cellular Processes	Cell Growth and Death	Meiosis - yeast
Cellular Processes	Cell Growth and Death	Oocyte meiosis
Cellular Processes	Cell Growth and Death	p53 signaling pathway
Cellular Processes	Cell Motility	Bacterial chemotaxis
Cellular Processes	Cell Motility	Bacterial motility proteins
Cellular Processes	Cell Motility	Cytoskeleton proteins
Cellular Processes	Cell Motility	Flagellar assembly
Cellular Processes	Cell Motility	Regulation of actin cytoskeleton
Cellular Processes	Transport and Catabolism	Endocytosis
Cellular Processes	Transport and Catabolism	Lysosome
Cellular Processes	Transport and Catabolism	Peroxisome
Cellular Processes	Transport and Catabolism	Phagosome
Environmental Information Processing	Membrane Transport	ABC transporters
Environmental Information Processing	Membrane Transport	Bacterial secretion system
Environmental Information Processing	Membrane Transport	Phosphotransferase system (PTS)
Environmental Information Processing	Membrane Transport	Secretion system
Environmental Information Processing	Membrane Transport	Transporters
Environmental Information Processing	Signal Transduction	Calcium signaling pathway
Environmental Information Processing	Signal Transduction	ErbB signaling pathway
Environmental Information Processing	Signal Transduction	Hedgehog signaling pathway
Environmental Information Processing	Signal Transduction	MAPK signaling pathway
Environmental Information Processing	Signal Transduction	MAPK signaling pathway - yeast
Environmental Information Processing	Signal Transduction	mTOR signaling pathway
Environmental Information Processing	Signal Transduction	Notch signaling pathway
Environmental Information Processing	Signal Transduction	Phosphatidylinositol signaling system
Environmental Information Processing	Signal Transduction	TGF-beta signaling pathway
Environmental Information Processing	Signal Transduction	Two-component system
Environmental Information Processing	Signal Transduction	VEGF signaling pathway
Environmental Information Processing	Signal Transduction	Wnt signaling pathway
Environmental Information Processing	Signaling Molecules and Interaction	Bacterial toxins
Environmental Information Processing	Signaling Molecules and Interaction	CAM ligands
Environmental Information Processing	Signaling Molecules and Interaction	Cellular antigens
Environmental Information Processing	Signaling Molecules and Interaction	Cytokine receptors
Environmental Information Processing	Signaling Molecules and Interaction	Cytokine-cytokine receptor interaction
Environmental Information Processing	Signaling Molecules and Interaction	ECM-receptor interaction
Environmental Information Processing	Signaling Molecules and Interaction	G protein-coupled receptors
Environmental Information Processing	Signaling Molecules and Interaction	Glycan bindng proteins
Environmental Information Processing	Signaling Molecules and Interaction	GTP-binding proteins
Environmental Information Processing	Signaling Molecules and Interaction	Ion channels
Environmental Information Processing	Signaling Molecules and Interaction	Neuroactive ligand-receptor interaction
Genetic Information Processing	Folding, Sorting and Degradation	Chaperones and folding catalysts
Genetic Information Processing	Folding, Sorting and Degradation	Proteasome
Genetic Information Processing	Folding, Sorting and Degradation	Protein export
Genetic Information Processing	Folding, Sorting and Degradation	Protein processing in endoplasmic reticulum
Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation
Genetic Information Processing	Folding, Sorting and Degradation	Sulfur relay system
Genetic Information Processing	Folding, Sorting and Degradation	Ubiquitin system
Genetic Information Processing	Replication and Repair	Base excision repair
Genetic Information Processing	Replication and Repair	Chromosome
Genetic Information Processing	Replication and Repair	DNA repair and recombination proteins
Genetic Information Processing	Replication and Repair	DNA replication
Genetic Information Processing	Replication and Repair	DNA replication proteins
Genetic Information Processing	Replication and Repair	Homologous recombination
Genetic Information Processing	Replication and Repair	Mismatch repair
Genetic Information Processing	Replication and Repair	Non-homologous end-joining
Genetic Information Processing	Replication and Repair	Nucleotide excision repair
Genetic Information Processing	Transcription	Basal transcription factors
Genetic Information Processing	Transcription	RNA polymerase
Genetic Information Processing	Transcription	Spliceosome
Genetic Information Processing	Transcription	Transcription factors
Genetic Information Processing	Transcription	Transcription machinery
Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis
Genetic Information Processing	Translation	mRNA surveillance pathway
Genetic Information Processing	Translation	Ribosome
Genetic Information Processing	Translation	Ribosome Biogenesis
Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes
Genetic Information Processing	Translation	RNA transport
Genetic Information Processing	Translation	Translation factors
Human Diseases	Cancers	Bladder cancer
Human Diseases	Cancers	Chronic myeloid leukemia
Human Diseases	Cancers	Colorectal cancer
Human Diseases	Cancers	Glioma
Human Diseases	Cancers	Pancreatic cancer
Human Diseases	Cancers	Pathways in cancer
Human Diseases	Cancers	Prostate cancer
Human Diseases	Cancers	Renal cell carcinoma
Human Diseases	Cancers	Small cell lung cancer
Human Diseases	Cardiovascular Diseases	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Human Diseases	Cardiovascular Diseases	Dilated cardiomyopathy (DCM)
Human Diseases	Cardiovascular Diseases	Hypertrophic cardiomyopathy (HCM)
Human Diseases	Cardiovascular Diseases	Viral myocarditis
Human Diseases	Immune System Diseases	Primary immunodeficiency
Human Diseases	Immune System Diseases	Rheumatoid arthritis
Human Diseases	Immune System Diseases	Systemic lupus erythematosus
Human Diseases	Infectious Diseases	African trypanosomiasis
Human Diseases	Infectious Diseases	Amoebiasis
Human Diseases	Infectious Diseases	Bacterial invasion of epithelial cells
Human Diseases	Infectious Diseases	Chagas disease (American trypanosomiasis)
Human Diseases	Infectious Diseases	Epithelial cell signaling in Helicobacter pylori infection
Human Diseases	Infectious Diseases	Hepatitis C
Human Diseases	Infectious Diseases	Influenza A
Human Diseases	Infectious Diseases	Leishmaniasis
Human Diseases	Infectious Diseases	Measles
Human Diseases	Infectious Diseases	Pathogenic Escherichia coli infection
Human Diseases	Infectious Diseases	Pertussis
Human Diseases	Infectious Diseases	Shigellosis
Human Diseases	Infectious Diseases	Staphylococcus aureus infection
Human Diseases	Infectious Diseases	Toxoplasmosis
Human Diseases	Infectious Diseases	Tuberculosis
Human Diseases	Infectious Diseases	Vibrio cholerae infection
